Real Data,Filtered
-41,-41
-42,-41.99009911
-42,-41.99502742
-41,-41.6638983
-42,-41.74800888
-42,-41.79860904
-42,-41.83242575
-41,-41.71213495
-42,-41.74870061
-43,-41.89071524
-42,-41.90194223
-42,-41.91115796
-42,-41.91886443
-42,-41.92540928
-42,-41.93104087
-42,-41.93594135
-43,-42.00746679
-42,-42.00698994
-43,-42.06747603
-42,-42.06354203
-42,-42.05998479
-43,-42.11066142
-42,-42.10490125
-42,-42.09961638
-41,-42.04587963
-41,-41.99620047
-42,-41.99637622
-41,-41.9514157
-42,-41.9535578
-43,-41.99870654
-42,-41.99876122
-43,-42.04029588
-43,-42.07940573
-42,-42.07622326
-42,-42.07321566
-42,-42.0703687
-42,-42.06766972
-42,-42.06510743
-41,-42.02526102
-40,-41.95034683
-42,-41.95216411
-41,-41.91766056
-39,-41.81291603
-40,-41.74839978
-40,-41.68668888
-43,-41.73268683
-41,-41.70721001
-43,-41.75185826
-42,-41.7603737
-42,-41.76854786
-43,-41.81032005
-42,-41.81672037
-42,-41.82287421
-42,-41.82879387
-42,-41.83449081
-42,-41.83997569
-42,-41.84525848
-42,-41.85034849
-43,-41.88803694
-43,-41.92437427
-43,-41.9594195
-42,-41.96073797
-43,-41.99441519
-42,-41.99459572
-42,-41.99477001
-42,-41.99493832
-42,-41.99510087
-43,-42.02731125
-42,-42.0264374
-43,-42.05753478
-42,-42.05569992
-41,-42.02208233
-43,-42.05317959
-42,-42.05149073
-42,-42.0498575
-41,-42.01659572
-42,-42.0160705
-41,-41.98394674
-43,-42.01603929
-42,-42.01553313
-42,-42.01504336
-42,-42.01456941
-43,-42.04559311
-41,-42.01269826
-42,-42.01229903
-42,-42.01191258
-42,-42.0115385
-42,-42.01117636
-41,-41.97945611
-42,-41.98010026
-42,-41.98072393
-41,-41.95000027
-42,-41.95156602
-42,-41.95308218
-42,-41.95455036
-42,-41.95597214
-43,-41.988622
-43,-42.02024171
-42,-42.01960904
-42,-42.01899631
,
-41.97,-41.94286612
