Real Data,Filter
-56,-56
-55,-55.00990089
-55,-55.00497258
-56,-55.3361017
-57,-55.75249785
-55,-55.60139527
-55,-55.50041154
-56,-55.57260524
-54,-55.37284726
-55,-55.33053144
-56,-55.39930702
-56,-55.45576172
-55,-55.41622735
-56,-55.46331774
-56,-55.50383718
-55,-55.46803273
-55,-55.43657183
-56,-55.47255391
-54,-55.38285792
-55,-55.36053644
-55,-55.34035275
-54,-55.26809375
-55,-55.25413888
-55,-55.24133549
-55,-55.22954176
-54,-55.17113867
-55,-55.16322241
-55,-55.15585715
-55,-55.14898534
-55,-55.14255737
-54,-55.09425164
-57,-55.17330831
-55,-55.16624565
-55,-55.15958275
-55,-55.15328597
-54,-55.10844094
-56,-55.14263652
-55,-55.13723564
-55,-55.13210156
-54,-55.09022524
-56,-55.12352253
-57,-55.19152042
-55,-55.1846448
-55,-55.17807385
-55,-55.17178861
-54,-55.13074741
-56,-55.16097287
-55,-55.15541345
-55,-55.15008015
-55,-55.1449606
-51,-55.00435905
-51,-54.86924097
-53,-54.80647893
-54,-54.77952587
-55,-54.78686221
-55,-54.79392548
-52,-54.70169126
-53,-54.64571648
-53,-54.59176577
-56,-54.63778481
-54,-54.61700498
-56,-54.66193875
-56,-54.70529855
-55,-54.71482481
-54,-54.69177144
-55,-54.70169035
-54,-54.67915571
-56,-54.72149319
-56,-54.76240001
-55,-54.76998939
-56,-54.809216
-55,-54.81529131
-56,-54.85296442
-55,-54.85763395
-55,-54.86214963
-55,-54.86651703
-56,-54.90238935
-56,-54.93709106
-54,-54.90749257
-55,-54.91041184
-55,-54.91323661
-55,-54.91597016
-56,-54.950098
-55,-54.95166794
-54,-54.92174758
-55,-54.92420632
-55,-54.92658644
-55,-54.92889056
-56,-54.96249089
-56,-54.99502168
-56,-55.0265184
-56,-55.05701518
-56,-55.08654493
-55,-55.08383576
-56,-55.11250505
-56,-55.14026815
-56,-55.16715452
-55,-55.1619286
-56,-55.18812299
-55,-55.18224459
,
,
-55.05,-55.0786466
